id;nombre;direccion;telefono
1;whenever within;phew after;forenenst quizzically beset
2;whether counter;and;politely alter oof
3;duh thwack quarrelsomely;suspiciously;plain
4;lest violently;wrought ah point;wherever wry hence
5;rattle bivouac;once;hitchhike
6;enthusiastically;vice factorize;warm gregarious
7;loudly hard-hat while;mid lest yet;wherever
8;supposing profuse;cheap;sympathise outrage
9;tranquilize querulous consequently;energetically punt elliptical;lest er
10;strictly;excepting rev bah;last ick or
